Fecha,Índice COLCAP
2012-03-12,1718.86
2012-03-13,1747.23
2012-03-14,1740.55
2012-03-15,1739.08
2012-03-16,1705
2012-03-20,1713.25
2012-03-21,1714.28
2012-03-22,1706.08
2012-03-23,1732.23
2012-03-26,1747.8
2012-03-27,1736.81
2012-03-28,1737.36
2012-03-29,1751.47
2012-03-30,1743.63
2012-04-02,1741.76
2012-04-03,1741.87
2012-04-04,1742.9
2012-04-09,1744.02
2012-04-10,1739.48
2012-04-11,1755.43
2012-04-12,1756.27
2012-04-13,1748.7
2012-04-16,1761.03
2012-04-17,1765.55
2012-04-18,1762.93
2012-04-19,1750.7
2012-04-20,1754.56
2012-04-23,1746.29
2012-04-24,1736.95
2012-04-25,1749.43
2012-04-26,1759.62
2012-04-27,1769.49
2012-04-30,1785.66
2012-05-02,1814.12
2012-05-03,1812.08
2012-05-04,1799.25
2012-05-07,1802.34
2012-05-08,1796.45
2012-05-09,1793.63
2012-05-10,1779.53
2012-05-11,1775.8
2012-05-14,1740.03
2012-05-15,1733.67
2012-05-16,1737.27
2012-05-17,1707.1
2012-05-18,1715.45
2012-05-22,1732.77
2012-05-23,1727.34
2012-05-24,1720.08
2012-05-25,1713.33
2012-05-28,1701.09
2012-05-29,1712.03
2012-05-30,1693.06
2012-05-31,1726.55
2012-06-01,1680.44
2012-06-04,1664.04
2012-06-05,1660.65
2012-06-06,1673.34
2012-06-07,1676.44
2012-06-08,1672.84
2012-06-12,1656.57
2012-06-13,1653.02
2012-06-14,1665.18
2012-06-15,1649.5
2012-06-19,1676.53
2012-06-20,1686.6
2012-06-21,1638.93
2012-06-22,1633.51
2012-06-25,1593.97
2012-06-26,1595.32
2012-06-27,1626.87
2012-06-28,1610.49
2012-06-29,1640.01
2012-07-03,1669.72
2012-07-04,1666.75
2012-07-05,1673.3
2012-07-06,1667.44
2012-07-09,1660.33
2012-07-10,1654.13
2012-07-11,1666.08
2012-07-12,1644.65
2012-07-13,1657.84
2012-07-16,1655.1
2012-07-17,1660.46
2012-07-18,1665.54
2012-07-19,1671.02
2012-07-23,1658.12
2012-07-24,1658.8
2012-07-25,1642.76
2012-07-26,1650.02
2012-07-27,1684.97
2012-07-30,1683.09
2012-07-31,1673.87
2012-08-01,1668.16
2012-08-02,1651.66
2012-08-03,1644.62
2012-08-06,1638.69
2012-08-08,1612.62
2012-08-09,1652.22
2012-08-10,1661.68
2012-08-13,1656.32
2012-08-14,1667.12
2012-08-15,1678.45
2012-08-16,1684.47
2012-08-17,1686.75
2012-08-21,1673.75
2012-08-22,1677.78
2012-08-23,1679
2012-08-24,1672.59
2012-08-27,1675.66
2012-08-28,1683.2
2012-08-29,1675.2
2012-08-30,1667.96
2012-08-31,1668.5
2012-09-03,1667.1
2012-09-04,1655.2
2012-09-05,1650.16
2012-09-06,1680.96
2012-09-07,1689.54
2012-09-10,1683.06
2012-09-11,1685.2
2012-09-12,1683.19
2012-09-13,1695.77
2012-09-14,1708.52
2012-09-17,1681.37
2012-09-18,1688.66
2012-09-19,1705.1
2012-09-20,1703.79
2012-09-21,1709.38
